order_id,rating
OD1020, 3 
OD1032,3
OD1001,5*
OD1037,4
OD1022,
OD1054,5*
OD1011,
OD1012,3
OD1017, 3 
OD1041,4
OD1000,5
OD1049,4
OD1057,5
OD1042,5
OD1074,1
OD1033,5*
OD1030,1
OD1015, 3 
OD1039,3
OD1051,5
OD1015,5
OD1047,4
OD1028,3
OD1061,3
OD1058,5*
OD1053, 3 
OD1068,4
OD1031,2
OD1067, 3 
OD1067,5*
OD1009,2
OD1007,4
OD1073,3
OD1021,5*
OD1066, 3 
OD1014,4
OD1074, 3 
OD1011, 3 
OD1007, 3 
OD1016,
OD1058,1
OD1071, 3 
OD1039,1
OD1050,5
OD1000,4
OD1074,2
OD1005,
OD1044,2
OD1069,1
OD1008, 3 
OD1004,5
OD1052,3
OD1017,
OD1047,
OD1057,
OD1048,2
OD1069,3
OD1044,2
OD1022,
OD1067,3
OD1028,1
OD1002,5
OD1059,
OD1068,
OD1029,4
OD1058,5*
OD1019,5
OD1024,2
OD1004,
OD1078,1
OD1030,4
OD1008,2
OD1076,1
OD1057,1
OD1031,1
OD1051, 3 
OD1029,4
OD1007,3
OD1064,5
OD1029,5*
