order_id,shipper_id,distance_km,delivery_time_min
OD1000,S117 ,3.2,45
OD1001,S117 ,-2,20
OD1002,S112 , 7 ,40m
OD1003,S117 ,-2, 25 
OD1004,S119 ,1.5,30
OD1005,S103,5km,45
OD1006,S110 , 7 ,45
OD1007, S104,3.2, 25 
OD1008,S116,5km, 25 
OD1009,S101,1.5,20
OD1010, S104,10,45
OD1011,S115 , 7 ,40m
OD1012, S104, 7 , 25 
OD1013, S104,-2, 25 
OD1014,S110 ,3.2,40m
OD1015,S119 ,10,45
OD1016,S118 ,-2, 25 
OD1017,S116, 7 ,40m
OD1018,S118 ,-2,40m
OD1019,S100 ,-2,45
OD1020,S103,5km, 25 
OD1021,S109 ,10,
OD1022,S100 , 7 ,40m
OD1023,S108 ,10, 25 
OD1024,S118 ,3.2,
OD1025,S101, 7 ,40m
OD1026,S105, 7 ,
OD1027,S119 ,5km,30
OD1028,S107,1.5, 25 
OD1029,S103,3.2,20
OD1030, S114,-2,40m
OD1031, S104,5km,
OD1032, S106,5km, 25 
OD1033,S119 ,5km,
OD1034,S101,10,30
OD1035,S116,3.2, 25 
OD1036,S110 ,10,40m
OD1037,S116,5km,45
OD1038,S105,5km, 25 
OD1039,S110 , 7 ,45
OD1040,S108 , 7 ,40m
OD1041, S106,3.2,45
OD1042,S117 ,-2,30
OD1043,S109 ,-2,
OD1044, S106,10,
OD1045,S115 ,-2,40m
OD1046,S111, 7 ,
OD1047,S108 ,-2,20
OD1048,S118 ,10, 25 
OD1049,S112 ,5km,45
OD1050, S104,-2,20
OD1051,S109 ,10,20
OD1052,S111,5km,
OD1053,S108 ,10,40m
OD1054, S106,3.2, 25 
OD1055,S108 , 7 ,
OD1056,S108 ,3.2,20
OD1057,S119 ,10, 25 
OD1058,S107,3.2,20
OD1059,S116,3.2,
OD1060,S107,1.5,20
OD1061,S113 ,-2,
OD1062,S115 ,1.5,
OD1063, S104,1.5, 25 
OD1064,S105,5km,
OD1065,S115 ,5km,
OD1066, S106,-2,45
OD1067,S109 ,10,20
OD1068,S102,10, 25 
OD1069,S107, 7 ,
OD1070,S101,3.2,40m
OD1071,S105,1.5,40m
OD1072,S115 ,3.2,
OD1073,S109 ,1.5,20
OD1074,S109 , 7 , 25 
OD1075,S103,-2,45
OD1076, S114,10, 25 
OD1077,S116,5km,30
OD1078,S116,5km,45
OD1079, S106,1.5,45
